OrderNo;CustNo;SaleDate;ShipDate;EmpNo;ShipToContact;ShipToAddr1;ShipToAddr2;ShipToCity;ShipToState;ShipToZip;ShipToCountry;ShipToPhone;ShipVIA;PO;Terms;PaymentMethod;ItemsTotal;TaxRate;Freight;AmountPaid
1068;4531;1989/04/03T00:00:00;1989/04/04T00:00:00;105;;;;;;;;;FedEx;;FOB;MC;31847;0;0;31847
1069;2975;1989/04/05T00:00:00;1989/04/06T00:00:00;136;;;;;;;;;UPS;;FOB;Credit;33829,45;0;0;33829,45
1070;6215;1989/04/07T00:00:00;1989/04/08T00:00:00;144;;;;;;;;;DHL;;"Net 30";Credit;22354;0;0;22354
1071;1560;1989/04/09T00:00:00;1989/04/10T00:00:00;114;;;;;;;;;FedEx;;"Net 30";Cash;103041;0;0;103041
1072;1356;1989/04/11T00:00:00;1989/04/12T00:00:00;29;;;;;;;;;"US Mail";;"Net 30";Cash;3596;0;0;3596
1073;1231;1989/04/15T00:00:00;1989/04/16T00:00:00;2;;;;;;;;;"US Mail";;"Net 30";MC;19414;0;0;19414
1074;1984;1989/04/19T00:00:00;1989/04/20T00:00:00;15;;;;;;;;;"US Mail";;"Net 30";MC;2195;0;0;2195
1075;1351;1989/04/21T00:00:00;1989/04/22T00:00:00;11;;;;;;;;;UPS;;FOB;MC;8560;0;0;8560
1076;1221;1994/12/16T00:00:00;1989/04/26T00:00:00;9;;;;;;;;;UPS;;FOB;Visa;17781;0;0;17781
1077;1551;1989/04/29T00:00:00;1989/05/01T00:00:00;110;;;;;;;;;DHL;;FOB;Credit;156;0;0;156
1078;3041;1989/05/01T00:00:00;1989/05/02T00:00:00;29;;;;;;;;;DHL;;FOB;Credit;79116;0;0;79116
1079;1380;1989/05/03T00:00:00;1989/05/04T00:00:00;44;;;;;;;;;DHL;;FOB;Credit;4445;0;0;4445
1080;1356;1989/05/05T00:00:00;1989/05/06T00:00:00;45;;;;;;;;;UPS;;"Net 30";Credit;9634;0;0;9634
1081;3042;1989/05/07T00:00:00;1989/05/08T00:00:00;109;;;;;;;;;FedEx;;"Net 30";AmEx;30566;0;0;30566
1082;1551;1989/05/09T00:00:00;1989/05/10T00:00:00;2;;;;;;;;;FedEx;;"Net 30";AmEx;1416,45;0;0;1416,45
1083;1563;1989/05/09T00:00:00;1989/05/10T00:00:00;20;;;;;;;;;FedEx;;"Net 30";Cash;11164,8;0;0;11164,8
1084;1680;1989/05/11T00:00:00;1989/05/12T00:00:00;15;;;;;;;;;"US Mail";;"Net 30";Cash;1185;0;0;1185
1086;1513;1989/05/18T00:00:00;1989/05/19T00:00:00;29;;;;;;;;;"US Mail";;"Net 30";Cash;14049,95;0;0;14049,95
1087;1351;1989/05/20T00:00:00;1989/05/21T00:00:00;127;;;;;;;;;DHL;;"Net 30";Credit;14045;0;0;14045
1089;3151;1989/05/22T00:00:00;1989/05/23T00:00:00;113;;;;;;;;;UPS;;FOB;Credit;2706;0;0;2706
1090;1513;1989/05/25T00:00:00;1989/05/26T00:00:00;94;;;;;;;;;DHL;;FOB;Credit;8507;0;0;8507
1091;1563;1989/05/28T00:00:00;1989/06/01T00:00:00;83;;;;;;;;;"US Mail";;FOB;Credit;1950;0;0;1950
1092;6582;1989/05/30T00:00:00;1989/06/01T00:00:00;61;;;;;;;;;FedEx;;"Net 30";Visa;76698,75;0;0;76698,75
1093;1680;1989/06/01T00:00:00;1989/06/02T00:00:00;2;;;;;;;;;FedEx;;"Net 30";Visa;479,8;0;0;479,8
1094;5163;1989/06/03T00:00:00;1989/06/04T00:00:00;4;;;;;;;;;FedEx;;FOB;MC;4113,75;0;0;0
1095;2156;1989/06/05T00:00:00;1989/06/06T00:00:00;36;;;;;;;;;"US Mail";;"Net 30";MC;7531,75;0;0;0
1096;2354;1989/06/09T00:00:00;1989/06/09T00:00:00;34;;;;;;;;;DHL;;"Net 30";MC;123740;0;0;0
1097;3615;1989/06/12T00:00:00;1989/06/12T00:00:00;107;;;;;;;;;UPS;;"Net 30";MC;12953,6;0;0;0
1098;2315;1989/06/14T00:00:00;1989/06/14T00:00:00;118;;;;;;;;;UPS;;"Net 30";Credit;472,9;0;0;0
1099;1984;1989/06/16T00:00:00;1989/06/16T00:00:00;138;;;;;;;;;UPS;;"Net 30";Credit;859,95;0;0;0
1100;1384;1989/06/20T00:00:00;1989/06/20T00:00:00;9;;;;;;;;;UPS;;FOB;Credit;6094,8;0;0;0
1101;2165;1989/07/04T00:00:00;1989/07/04T00:00:00;37;;;;;;;;;UPS;;FOB;Credit;11629,85;0;0;0
1102;1231;1992/06/06T00:00:00;1992/06/06T00:00:00;105;;;;;;;;;UPS;;FOB;Credit;2844;0;0;2844
1103;3042;1992/07/13T00:00:00;1992/07/13T00:00:00;94;;;;;;;;;UPS;;FOB;Credit;39797,7;0;0;39797,7
1104;1354;1992/07/18T00:00:00;1992/07/18T00:00:00;83;;;;;;;;;DHL;;FOB;Check;51673,15;0;0;51673,15
1105;1356;1992/07/21T00:00:00;1992/07/21T00:00:00;28;;;;;;;;;UPS;;FOB;Visa;31219,95;0;0;31219,95
1106;1380;1992/09/23T00:00:00;1992/09/23T00:00:00;15;;;;;;;;;Emery;;FOB;Visa;3531,8;0;0;3531,8
1107;1384;1992/10/24T00:00:00;1992/10/24T00:00:00;134;;;;;;;;;"US Mail";;FOB;Visa;28389;0;0;28389
1109;1513;1992/11/13T00:00:00;1992/11/13T00:00:00;145;;;;;;;;;"US Mail";;"Net 30";COD;203;0;0;203
1111;1560;1992/12/14T00:00:00;1992/12/14T00:00:00;2;;;;;;;;;UPS;;"Net 30";COD;4720,8;0;0;4720,8
1112;4531;1993/01/02T00:00:00;1993/01/02T00:00:00;61;;;;;;;;;UPS;;"Net 30";Credit;5565;0;0;0
1113;1624;1993/02/12T00:00:00;1993/02/12T00:00:00;9;;;;;;;;;Emery;;"Net 30";Credit;2514,65;0;0;0
1115;4684;1993/03/13T00:00:00;1993/03/13T00:00:00;29;;;;;;;;;Emery;;FOB;MC;4894,95;0;0;0
1116;1680;1993/03/21T00:00:00;1993/03/21T00:00:00;113;;;;;;;;;UPS;;FOB;AmEx;23104;0;0;0
1117;1984;1993/04/13T00:00:00;1993/04/13T00:00:00;44;;;;;;;;;DHL;;FOB;Check;6734,85;0;0;0
1118;2118;1993/04/23T00:00:00;1993/04/23T00:00:00;34;;;;;;;;;DHL;;FOB;Check;21614;0;0;21614
1119;5384;1993/05/15T00:00:00;1993/05/15T00:00:00;2;;;;;;;;;DHL;;"Net 30";Credit;14557,95;0;0;14557,95
1120;2156;1993/05/25T00:00:00;1993/05/25T00:00:00;46;;;;;;;;;DHL;;"Net 30";Credit;784,9;0;0;784,9
1121;2163;1993/06/02T00:00:00;1993/06/02T00:00:00;85;;;;;;;;;UPS;;"Net 30";Credit;820;0;0;820
1122;2163;1993/07/23T00:00:00;1993/07/23T00:00:00;141;;;;;;;;;UPS;;"Net 30";Credit;44854;0;0;44854
1123;1221;1993/08/24T00:00:00;1993/08/24T00:00:00;121;;;;;;;;;UPS;;"Net 30";Check;13945;0;0;13945
1124;1384;1993/09/01T00:00:00;1993/09/01T00:00:00;71;;;;;;;;;UPS;;"Net 30";Check;33071;0;0;33071
1125;1510;1993/09/04T00:00:00;1993/09/04T00:00:00;44;;;;;;;;;DHL;;"Net 30";AmEx;6583,8;0;0;6583,8
1126;1624;1993/10/01T00:00:00;1993/10/01T00:00:00;45;;;;;;;;;UPS;;"Net 30";AmEx;10107;0;0;10107
1127;1384;1993/10/02T00:00:00;1993/10/02T00:00:00;65;;;;;;;;;UPS;;"Net 30";Visa;25071;0;0;25071
1128;1651;1993/10/08T00:00:00;1993/10/08T00:00:00;37;;;;;;;;;Emery;;FOB;Visa;8294;0;0;8294
1129;1645;1993/10/19T00:00:00;1993/10/19T00:00:00;24;;;;;;;;;FedEx;;FOB;MC;1004,8;0;0;1004,8
1130;4312;1993/10/26T00:00:00;1993/10/26T00:00:00;114;;;;;;;;;FedEx;;FOB;MC;6300;0;0;6300
1131;2118;1993/11/01T00:00:00;1993/11/01T00:00:00;134;;;;;;;;;FedEx;;FOB;Credit;11989,2;0;0;11989,2
1132;2163;1993/11/01T00:00:00;1993/11/01T00:00:00;121;;;;;;;;;FedEx;;FOB;Credit;906;0;0;906
1133;3151;1993/11/02T00:00:00;1993/11/02T00:00:00;138;;;;;;;;;FedEx;;FOB;Cash;2419;0;0;2419
1134;5151;1993/11/14T00:00:00;1993/11/14T00:00:00;94;;;;;;;;;UPS;;FOB;Check;6675,95;0;0;6675,95
1136;2163;1993/11/27T00:00:00;1993/11/27T00:00:00;71;;;;;;;;;DHL;;FOB;Credit;2971;0;0;2971
1137;1984;1993/11/27T00:00:00;1993/11/27T00:00:00;11;;;;;;;;;DHL;;FOB;Credit;6785,4;0;0;6785,4
1139;1510;1993/12/01T00:00:00;1993/12/01T00:00:00;29;;;;;;;;;"US Mail";;FOB;Visa;47710,75;0;0;47710,75
1140;6812;1993/12/12T00:00:00;1993/12/12T00:00:00;52;;;;;;;;;"US Mail";;"Net 30";Visa;1240;0;0;1240
1141;4652;1993/12/17T00:00:00;1993/12/17T00:00:00;83;;;;;;;;;"US Mail";;"Net 30";AmEx;1846;0;0;1846
1142;3984;1993/12/25T00:00:00;1993/12/25T00:00:00;105;;;;;;;;;UPS;;"Net 30";AmEx;3546;0;0;3546
1143;5132;1994/01/01T00:00:00;1994/01/01T00:00:00;113;;;;;;;;;UPS;;"Net 30";Credit;3087;0;0;3087
1144;5515;1994/01/09T00:00:00;1994/01/09T00:00:00;134;;;;;;;;;UPS;;FOB;Credit;10054;0;0;10054
1145;9841;1994/01/17T00:00:00;1994/01/17T00:00:00;144;;;;;;;;;FedEx;;FOB;Credit;4229,8;0;0;4229,8
1146;2315;1994/02/13T00:00:00;1994/02/13T00:00:00;94;;;;;;;;;FedEx;;FOB;Check;15052;0;0;15052
1148;1563;1994/03/03T00:00:00;1994/03/03T00:00:00;83;;;;;;;;;FedEx;;FOB;Visa;5011;0;0;5011
1149;9841;1994/03/14T00:00:00;1994/03/14T00:00:00;52;;;;;;;;;UPS;;FOB;MC;12900,75;0;0;12900,75
1150;3052;1994/03/25T00:00:00;1994/03/25T00:00:00;44;;;;;;;;;UPS;;FOB;AmEx;7671,9;0;0;7671,9
1152;1351;1994/04/07T00:00:00;1994/04/07T00:00:00;24;;;;;;;;;FedEx;;"Net 30";Credit;97698,6;0;0;97698,6
1153;1380;1994/04/16T00:00:00;1994/04/16T00:00:00;4;;;;;;;;;FedEx;;"Net 30";Credit;3860,85;0;0;3860,85
1154;1560;1994/05/01T00:00:00;1994/05/01T00:00:00;9;;;;;;;;;UPS;;"Net 30";Visa;13226,8;0;0;13226,8
1155;1351;1994/05/05T00:00:00;1994/05/05T00:00:00;37;;;;;;;;;UPS;;"Net 30";Credit;13935,95;0;0;13935,95
1156;1513;1994/05/09T00:00:00;1994/05/09T00:00:00;46;;;;;;;;;UPS;;"Net 30";MC;12367;0;0;12367
1158;5165;1994/05/22T00:00:00;1994/05/22T00:00:00;141;;;;;;;;;"US Mail";;"Net 30";Credit;9793,55;0;0;9793,55
1160;1231;1994/06/01T00:00:00;1994/06/01T00:00:00;110;;;;;;;;;"US Mail";;FOB;Check;2206,85;0;0;2206,85
1161;1563;1994/06/04T00:00:00;1994/06/04T00:00:00;94;;;;;;;;;"US Mail";;FOB;Credit;102453,6;0;0;102453,6
1162;2118;1994/06/09T00:00:00;1994/06/09T00:00:00;114;;;;;;;;;"US Mail";;FOB;Credit;3153;0;0;3153
1163;1351;1994/06/14T00:00:00;1994/06/14T00:00:00;83;;;;;;;;;"US Mail";;FOB;Credit;342;0;0;342
1165;1513;1994/06/26T00:00:00;1994/06/26T00:00:00;72;;;;;;;;;UPS;;FOB;Visa;2692,85;0;0;2692,85
1166;3054;1994/07/01T00:00:00;1994/07/01T00:00:00;71;;;;;;;;;DHL;;"Net 30";Visa;28862;0;0;28862
1168;1563;1994/07/04T00:00:00;1994/07/04T00:00:00;9;;;;;;;;;FedEx;;FOB;MC;104;0;0;104
1169;1221;1994/07/06T00:00:00;1994/07/06T00:00:00;12;;;;;;;;;UPS;;FOB;Credit;9471,95;0;0;9471,95
1170;1551;1994/07/08T00:00:00;1994/07/08T00:00:00;20;;;;;;;;;DHL;;"Net 30";Credit;5654,8;0;0;5654,8
1171;1560;1994/07/10T00:00:00;1994/07/10T00:00:00;136;;;;;;;;;FedEx;;"Net 30";Cash;2356,9;0;0;2356,9
1173;1231;1994/07/16T00:00:00;1994/07/16T00:00:00;127;;;;;;;;;"US Mail";;"Net 30";MC;54;0;0;54
1175;3051;1994/07/22T00:00:00;1994/07/22T00:00:00;110;;;;;;;;;UPS;;FOB;MC;13814,05;0;0;13814,05
1176;1221;1994/07/26T00:00:00;1994/07/26T00:00:00;52;;;;;;;;;UPS;;FOB;Visa;4178,85;0;0;4178,85
1178;1231;1994/08/02T00:00:00;1994/08/02T00:00:00;24;;;;;;;;;DHL;;FOB;Credit;5511,75;0;0;5511,75
1180;1356;1994/08/06T00:00:00;1994/08/06T00:00:00;144;;;;;;;;;UPS;;"Net 30";Credit;3640;0;0;3640
1183;4531;1994/08/10T00:00:00;1994/08/10T00:00:00;5;;;;;;;;;FedEx;;"Net 30";Cash;3650;0;0;3650
1195;5384;1994/09/06T00:00:00;1994/09/06T00:00:00;20;;;;;;;;;"US Mail";;"Net 30";MC;7868;0;0;7868
1196;2354;1994/09/08T00:00:00;1994/09/08T00:00:00;9;;;;;;;;;DHL;;"Net 30";MC;5983;0;0;5983
1197;1513;1994/09/12T00:00:00;1994/09/12T00:00:00;71;;;;;;;;;UPS;;"Net 30";MC;6731;0;0;6731
1198;2315;1994/09/14T00:00:00;1994/09/14T00:00:00;65;;;;;;;;;UPS;;"Net 30";Credit;72089,9;0;0;72089,9
1199;5163;1994/09/16T00:00:00;1994/09/16T00:00:00;85;;;;;;;;;UPS;;"Net 30";Credit;716;0;0;716
1200;1384;1994/09/20T00:00:00;1994/09/20T00:00:00;107;;;;;;;;;UPS;;FOB;Credit;1827;0;0;1827
1201;2984;1994/10/04T00:00:00;1994/10/04T00:00:00;114;;;;;;;;;UPS;;FOB;Credit;7990;0;0;7990
1202;1231;1994/10/06T00:00:00;1994/10/06T00:00:00;145;;;;;;;;;UPS;;FOB;Credit;4205;0;0;4205
1204;3053;1994/10/18T00:00:00;1994/10/18T00:00:00;141;;;;;;;;;DHL;;FOB;Check;10263,75;0;0;10263,75
1205;3054;1994/10/21T00:00:00;1994/10/21T00:00:00;8;;;;;;;;;UPS;;FOB;Visa;4029,55;0;0;4029,55
1207;1384;1994/11/11T00:00:00;1994/11/11T00:00:00;52;;;;;;;;;"US Mail";;FOB;Visa;12949,7;0;0;12949,7
1209;1513;1994/11/12T00:00:00;1994/11/12T00:00:00;61;;;;;;;;;"US Mail";;"Net 30";COD;20711,9;0;0;20711,9
1212;1563;1994/11/14T00:00:00;1994/11/14T00:00:00;4;;;;;;;;;UPS;;"Net 30";Credit;3975,75;0;0;3975,75
1215;1651;1994/11/16T00:00:00;1994/11/16T00:00:00;34;;;;;;;;;Emery;;FOB;MC;8305,95;0;0;8305,95
1217;1984;1994/11/22T00:00:00;1994/11/22T00:00:00;14;;;;;;;;;DHL;;FOB;Check;51730,8;0;0;51730,8
1221;2163;1994/11/23T00:00:00;1994/11/23T00:00:00;2;;;;;;;;;UPS;;"Net 30";Credit;2099;0;0;2099
1250;3052;1994/11/24T00:00:00;1994/11/24T00:00:00;61;;;;;;;;;UPS;;FOB;AmEx;45160,1;0;0;45160,1
1253;1380;1994/11/26T00:00:00;1994/11/26T00:00:00;46;;;;;;;;;FedEx;;"Net 30";Credit;4774,85;0;0;4774,85
1255;1351;1994/12/09T00:00:00;1994/12/09T00:00:00;127;;;;;;;;;UPS;;"Net 30";Credit;64115,75;0;0;64115,75
1260;3041;1994/12/10T00:00:00;1994/12/10T00:00:00;107;;;;;;;;;"US Mail";;FOB;Check;2577,85;0;0;2577,85
1261;1563;1994/12/11T00:00:00;1994/12/11T00:00:00;45;;;;;;;;;"US Mail";;FOB;Credit;1999;0;0;1999
1263;3053;1994/12/14T00:00:00;1994/12/14T00:00:00;44;;;;;;;;;"US Mail";;FOB;Credit;158922,65;0;0;158922,65
1266;1356;1994/12/15T00:00:00;1994/12/15T00:00:00;71;;;;;;;;;DHL;;"Net 30";Visa;6935;0;0;6935
1269;1221;1994/12/16T00:00:00;1994/12/16T00:00:00;28;;;;;;;;;UPS;;FOB;Credit;1400;0;0;1400
1271;1560;1994/12/20T00:00:00;1994/12/20T00:00:00;145;;;;;;;;;FedEx;;"Net 30";Cash;304;0;0;304
1275;1351;1994/12/22T00:00:00;1994/12/22T00:00:00;20;;;;;;;;;UPS;;FOB;MC;16939,5;0;0;16939,5
1278;1231;1994/12/23T00:00:00;1994/12/23T00:00:00;71;;;;;;;;;DHL;;FOB;Credit;11568;0;0;11568
1280;1356;1994/12/26T00:00:00;1994/12/26T00:00:00;118;;;;;;;;;UPS;;"Net 30";Credit;4317,75;0;0;4317,75
1283;1563;1994/12/30T00:00:00;1994/12/30T00:00:00;113;;;;;;;;;FedEx;;"Net 30";Cash;7134;0;0;7134
1292;1354;1995/01/01T00:00:00;1995/01/01T00:00:00;136;;;;;;;;;FedEx;;"Net 30";Visa;7986,9;0;0;7986,9
1294;1984;1995/01/04T00:00:00;1995/01/04T00:00:00;85;;;;;;;;;FedEx;;FOB;MC;3304,85;0;0;3304,85
1295;2156;1995/01/06T00:00:00;1995/01/06T00:00:00;45;;;;;;;;;"US Mail";;"Net 30";MC;17917;0;0;17917
1296;5412;1995/01/08T00:00:00;1995/01/08T00:00:00;34;;;;;;;;;DHL;;"Net 30";MC;7423,35;0;0;7423,35
1298;2315;1995/01/09T00:00:00;1995/01/09T00:00:00;11;;;;;;;;;UPS;;"Net 30";Credit;9897;0;0;9897
1300;1384;1995/01/10T00:00:00;1995/01/10T00:00:00;28;;;;;;;;;UPS;;FOB;Credit;52729,25;0;0;52729,25
1302;1231;1995/01/16T00:00:00;1995/01/16T00:00:00;52;;;;;;;;;UPS;;FOB;Credit;24485;0;0;24485
1305;1356;1995/01/20T00:00:00;1995/01/20T00:00:00;65;;;;;;;;;UPS;;FOB;Visa;3065;0;0;3065
1309;3615;1995/01/22T00:00:00;1995/01/22T00:00:00;94;;;;;;;;;"US Mail";;"Net 30";COD;465;0;0;465
1315;1651;1995/01/26T00:00:00;1995/01/26T00:00:00;121;;;;;;;;;Emery;;FOB;MC;5037,1;0;0;5037,1
1317;1984;1995/02/01T00:00:00;1995/02/01T00:00:00;138;;;;;;;;;DHL;;FOB;Check;7572;0;0;7572
